<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
20211126,000000,23.5750000,23.7300000,22.9150000,23.1450000,32480
20211128,000000,23.1350000,23.4150000,23.1050000,23.3200000,911
20211129,000000,23.3250000,23.4150000,22.7300000,22.9750000,8195
20211130,000000,22.9700000,23.3550000,22.7050000,22.8200000,63113
20211201,000000,22.8300000,23.0600000,22.1850000,22.3750000,60601
20211202,000000,22.3750000,22.5050000,22.2150000,22.3950000,42128
20211203,000000,22.3950000,22.5900000,22.0350000,22.5650000,50250
20211205,000000,22.6100000,22.6350000,22.4800000,22.6000000,5556
20211206,000000,22.6050000,22.6200000,22.1250000,22.4000000,37643
20211207,000000,22.4000000,22.6250000,22.2300000,22.5300000,38290
20211208,000000,22.5350000,22.5800000,22.3050000,22.4550000,28664
20211209,000000,22.4550000,22.4750000,21.8400000,21.9900000,57631
20211210,000000,21.9900000,22.2400000,21.8150000,22.2150000,43015
20211212,000000,22.1950000,22.3500000,22.1900000,22.2350000,4685
20211213,000000,22.2350000,22.4300000,22.1600000,22.3150000,31336
20211214,000000,22.3150000,22.3500000,21.6700000,21.9750000,52697
20211215,000000,21.9750000,22.1850000,21.4100000,22.1000000,64558
20211216,000000,22.1000000,22.5700000,21.9300000,22.4800000,54553
20211217,000000,22.4850000,22.6900000,22.3550000,22.3600000,37533
20211219,000000,22.3900000,22.4350000,22.3400000,22.3600000,5210
20211220,000000,22.3600000,22.4350000,22.1900000,22.2600000,34711
20211221,000000,22.2650000,22.8050000,22.1850000,22.5150000,43555
20211222,000000,22.5100000,22.9000000,22.4400000,22.8950000,35670
20211223,000000,22.8000000,22.9650000,22.6800000,22.9100000,33182
